Year,Rd,Pk,Tm,Player,Pos,College,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
2017,1,15,POR,Justin Jackson,G-F,University of North Carolina,145,20.8,6.7,2.7,1.1,0.4,0.2,.439,.327,.757,3.5,.055
2017,1,16,CHI,Justin Patton,C,Creighton University,4,6.3,1.8,1.5,0.8,0.8,0.0,.333,.000,.500,0.0,.091
2017,1,17,MIL,D.J. Wilson,F,University of Michigan,66,12.8,3.9,3.0,0.7,0.3,0.3,.420,.365,.525,1.5,.087
2017,1,18,IND,T.J. Leaf,F,"University of California, Los Angeles",108,8.5,3.2,1.8,0.3,0.1,0.2,.514,.366,.595,2.2,.113
2017,1,19,ATL,John Collins,F,Wake Forest University,133,26.6,14.5,8.3,1.6,0.5,0.9,.568,.354,.743,11.4,.154
2017,1,20,POR,Harry Giles,F-C,Duke University,58,14.1,7.0,3.8,1.5,0.5,0.4,.503,.000,.637,1.0,.058
2017,1,21,OKC,Terrance Ferguson,G-F,,131,19.7,5.1,1.3,0.6,0.5,0.2,.418,.352,.759,3.8,.070
2017,1,22,BRK,Jarrett Allen,C-F,University of Texas at Austin,149,23.3,9.6,6.9,1.1,0.5,1.4,.590,.186,.732,11.6,.161
2017,1,23,TOR,OG Anunoby,F,Indiana University,138,20.2,6.5,2.7,0.7,0.7,0.3,.463,.355,.598,5.0,.086
2017,1,24,UTA,Tyler Lydon,F,Syracuse University,25,3.7,0.8,0.7,0.2,0.1,0.0,.471,.400,.333,0.1,.068
2017,1,25,ORL,Anzejs Pasecniks,C,,,,,,,,,,,,,
2017,1,26,POR,Caleb Swanigan,F,Purdue University,46,7.4,2.1,2.3,0.5,0.2,0.1,.362,.154,.720,-0.3,-0.043
2017,1,27,BRK,Kyle Kuzma,F,University of Utah,147,32.1,17.3,5.9,2.2,0.6,0.4,.453,.335,.731,6.9,.070
2017,1,28,LAL,Tony Bradley,F-C,University of North Carolina,10,3.8,0.8,1.4,0.1,0.0,0.0,.214,.000,1.000,0.0,-0.054
2017,1,29,SAS,Derrick White,G,University of Colorado,81,22.1,8.5,3.2,3.2,0.9,0.6,.477,.360,.755,3.8,.102
2017,1,30,UTA,Josh Hart,G,Villanova University,130,24.4,7.9,3.9,1.3,0.9,0.4,.435,.361,.695,5.5,.082
2017,2,31,CHO,Frank Jackson,G,Duke University,61,19.2,8.1,2.2,1.1,0.4,0.0,.434,.314,.740,0.5,.019
